received_date,subject,property_name,date_period,client_name,check_in,check_out,duration,rate_per_night_zar,potential_payout_zar
2024-02-27 13:23:18,Pending: Reservation Request at Fabulous views with all the comfort. for Mar 1 ,Fabulous views with all the comfort.,Mar 1,,,,,1701,
2024-03-01 12:40:24,Pending: Reservation Request at Fabulous views with all the comfort. for Mar 23 ,Fabulous views with all the comfort.,Mar 23,,,,,1665,
2024-03-01 15:29:18,Pending: Reservation Request at Fabulous views with all the comfort. for Mar 6 ,Fabulous views with all the comfort.,Mar 6,,,,,1582,
2024-03-01 16:01:15,Pending: Reservation Request at Fabulous views with all the comfort. for Mar 6 ,Fabulous views with all the comfort.,Mar 6,,,,,1691,
2024-03-21 07:53:46,"Pending: Reservation Request at Fabulous views with all the comfort. for Dec 24, 2024 ",Fabulous views with all the comfort.,"Dec 24, 2024",,,,,2595,
2024-03-27 18:22:00,Pending: Reservation Request at Fabulous views with all the comfort. for Apr 30 ,Fabulous views with all the comfort.,Apr 30,,,,,1373,
2024-03-27 19:40:18,Pending: Reservation Request at Fabulous views with all the comfort. for Apr 26 ,Fabulous views with all the comfort.,Apr 26,,,,,1625,
2024-03-27 23:55:15,Pending: Reservation Request at Fabulous views with all the comfort. for Apr 27 ,Fabulous views with all the comfort.,Apr 27,,,,,1575,
2024-03-30 16:45:44,Pending: Reservation Request at Fabulous views with all the comfort. for Nov 14 ,Fabulous views with all the comfort.,Nov 14,,,,,2006,
2024-04-08 05:07:31,Pending: Reservation Request at Fabulous views with all the comfort. for Oct 24 ,Fabulous views with all the comfort.,Oct 24,,,,,2006,
2024-04-28 14:54:58,Pending: Reservation Request at Fabulous views with all the comfort. for Dec 8 ,Fabulous views with all the comfort.,Dec 8,,,,,2445,
2024-06-18 11:58:49,Pending: Reservation Request at Spacious cottage with fireplace! for Jul 14 ,Spacious cottage with fireplace!,Jul 14,,,,,894,
2024-06-23 12:22:58,Pending: Reservation Request at Spacious cottage with fireplace! for Jul 25 ,Spacious cottage with fireplace!,Jul 25,,,,,897,
2024-06-27 15:34:44,Pending: Reservation Request at Spacious cottage with fireplace! for Jun 30 ,Spacious cottage with fireplace!,Jun 30,,,,,757,
2024-07-20 15:22:40,Pending: Reservation Request at Fabulous views with all the comfort. for Nov 1 ,Fabulous views with all the comfort.,Nov 1,,,,,2252,
2024-07-30 15:52:11,Pending: Reservation Request at City Views with all the comfort for Jul 30 ,City Views with all the comfort,Jul 30,,,,,790,
2024-08-08 07:47:26,Pending: Reservation Request at Sunny studio & fabulous views! for Aug 11 ,Sunny studio & fabulous views!,Aug 11,,,,,785,
2024-08-08 14:49:17,Pending: Reservation Request at Great 1 bed with balcony & views for Aug 11 ,1 bed with balcony & views,Aug 11,,,,,790,
2024-08-11 15:18:18,Pending: Reservation Request at Great 1 bed with balcony & views for Aug 11 ,1 bed with balcony & views,Aug 11,,,,,790,
2024-08-12 08:21:02,Pending: Reservation Request at Sunny studio great views & decor for Aug 13 ,views & decor,Aug 13,,,,,796,
2024-08-13 07:25:38,Pending: Reservation Request at Sunny studio & fabulous views! for Aug 13 ,Sunny studio & fabulous views!,Aug 13,,,,,785,
2024-08-14 17:55:39,Pending: Reservation Request at Sunny studio & fabulous views! for Aug 14 ,Sunny studio & fabulous views!,Aug 14,,,,,785,
2024-08-14 18:30:24,Pending: Reservation Request at City Views with all the comfort for Aug 15 ,City Views with all the comfort,Aug 15,,,,,790,
2024-08-16 11:43:21,Pending: Reservation Request at Sunny studio & fabulous views! for Aug 16 ,Sunny studio & fabulous views!,Aug 16,,,,,801,
2024-08-20 18:02:37,Pending: Reservation Request at Great 1 bed with balcony & views for Aug 24 ,1 bed with balcony & views,Aug 24,,,,,840,
2024-08-26 14:05:27,Pending: Reservation Request at Great 1 bed with balcony & views for Aug 28 ,1 bed with balcony & views,Aug 28,,,,,800,
2024-08-28 18:45:09,Pending: Reservation Request at Fun studio with balcony & views! for Aug 30 ,Fun studio with balcony & views!,Aug 30,,,,,800,
2024-08-30 12:41:11,Pending: Reservation Request at Sunny studio with views & pool access! for Aug 30 ,Sunny studio with views & pool access!,Aug 30,,,,,845,
2024-09-02 20:00:02,Pending: Reservation Request at Sunny studio with views & pool access! for Sep 3 ,Sunny studio with views & pool access!,Sep 3,,,,,815,
2024-10-03 10:52:21,Pending: Reservation Request at Spacious studio with balcony & fab views! for Oct 14 ,Spacious studio with balcony & fab views!,Oct 14,,,,,889,
2024-10-31 13:23:05,"Pending: Reservation Request at Fabulous 1 bed with balcony & views! for Dec 27, 2024 ",Fabulous 1 bed with balcony & views!,"Dec 27, 2024",,,,,1871,
2024-10-31 21:04:05,Pending: Reservation Request at Spectacular studio with balcony & views! for Oct 31 ,Spectacular studio with balcony & views!,Oct 31,,,,,995,
2024-11-05 09:05:58,Pending: Reservation Request at Great 1 bed with double balcony & views for Nov 5 ,1 bed with double balcony & views,Nov 5,,,,,1850,
2024-11-07 13:51:14,Pending: Reservation Request at Sublime studio with living room & spectacular view for Nov 7 ,Sublime studio with living room & spectacular view,Nov 7,,,,,1461,
2024-11-27 21:15:13,Pending: Reservation Request at Fab studio with kitchenette in the heart of CPT! for Nov ,Fab studio with kitchenette in the heart of CPT!,Nov,,,,,869,
2024-11-27 23:01:58,Pending: Reservation Request at Sublime studio with living room & spectacular view for Nov ,Sublime studio with living room & spectacular view,Nov,,,,,1461,
2024-11-27 23:13:24,"Pending: Reservation Request at Fun studio with AC, kitchen & all the amenities! for Nov ","Fun studio with AC, kitchen & all the amenities!",Nov,,,,,905,
2024-12-06 07:20:40,Pending: Reservation Request at This is a great spacious studio with everything! for Dec ,spacious studio with everything!,Dec,,,,,925,
2024-12-13 06:13:08,Pending: Reservation Request at Sunny 1 bed great views & decor for Dec ,views & decor,Dec,,,,,1195,
2024-12-13 09:17:55,Pending: Reservation Request at Spacious studio with fab views & living room! for Dec ,Spacious studio with fab views & living room!,Dec,,,,,1075,
2024-12-13 10:02:43,"Pending: Reservation Request at Fun studio with AC, kitchen & all the amenities! for Dec ","Fun studio with AC, kitchen & all the amenities!",Dec,,,,,918,
2024-12-13 10:21:13,"Pending: Reservation Request at Fab studio with kitchenette in the heart of CPT! for Dec 31, ",Fab studio with kitchenette in the heart of CPT!,"Dec 31,",,,,,1650,
2024-12-13 11:04:25,"Pending: Reservation Request at Fabulous spacious apartment, largy balcony &views! for Dec ","Fabulous spacious apartment, largy balcony &views!",Dec,,,,,925,
2024-12-13 13:20:10,Pending: Reservation Request at Fabulous studio with ac & fully equiped kitchen! for Dec ,Fabulous studio with ac & fully equiped kitchen!,Dec,,,,,1055,
2024-12-13 17:31:55,Pending: Reservation Request at Fabulous studio with balcony & views! for Dec ,Fabulous studio with balcony & views!,Dec,,,,,1075,
2024-12-13 18:05:34,"Pending: Reservation Request at Fun studio with AC, kitchen & all the amenities! for Dec ","Fun studio with AC, kitchen & all the amenities!",Dec,,,,,918,
2024-12-13 21:54:46,"Pending: Reservation Request at Fabulous studio with full kitchen, AC and all! for Dec ","Fabulous studio with full kitchen, AC and all!",Dec,,,,,935,
2024-12-23 09:21:21,Pending: Reservation Request at Spacious studio with views! for Dec,Spacious studio with views!,Dec,,,,,1115,
2025-01-31 08:02:01,Pending: Reservation Request at Great 1 bed with balcony & views for Jan ,1 bed with balcony & views,Jan,,,,,1475,
2025-01-31 08:31:19,"Pending: Reservation Request at Great 2 bed, with views & space in the hub of CPT! for Feb ","2 bed, with views & space in the hub of CPT!",Feb,,,,,1905,
2025-02-06 09:54:22,Pending: Reservation Request at Exquisite waterfront living! for Feb,Exquisite waterfront living!,Feb,,,,,4500,
2025-02-11 15:29:32,Pending: Reservation Request at Spacious studio with kitchen &ac in the hub of cpt for Feb ,Spacious studio with kitchen &ac in the hub of cpt,Feb,,,,,1200,
2025-02-17 08:22:13,Pending: Reservation Request at Spacious sunny studio with views for Feb ,Spacious sunny studio with views,Feb,,,,,1305,
2025-02-19 10:41:40,"Pending: Reservation Request at Fabulous 2 bed with finishes, views & space! for Feb ","Fabulous 2 bed with finishes, views & space!",Feb,,,,,2095,
2025-02-19 18:41:25,"Pending: Reservation Request at Fun studio with AC, kitchen & all the amenities! for Feb ","Fun studio with AC, kitchen & all the amenities!",Feb,,,,,1185,
2025-02-20 06:35:52,"Pending: Reservation Request at Fun studio with AC, kitchen & all the amenities! for Feb ","Fun studio with AC, kitchen & all the amenities!",Feb,,,,,1185,
2025-02-20 11:15:10,Pending: Reservation Request at Fabulous views with all the space & comfort. for Mar ,Fabulous views with all the space & comfort.,Mar,,,,,2225,
